subject,grade,questionText,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,competencyCodes
Science,Grade 11,"What is the primary function of the mitochondria in a cell?","Protein synthesis","Energy production","DNA replication","Cell division",B,287,"COMP1,COMP2"
Science,Grade 11,"Which of the following is a characteristic of a chemical change?","Change in state","Formation of new substances","Change in temperature","Change in size",B,234,"COMP1,COMP3"
Science,Grade 11,"What is the atomic number of carbon?","4","6","8","12",B,156,"COMP1,COMP2"
Science,Grade 11,"Which organelle is responsible for photosynthesis in plant cells?","Chloroplast","Mitochondria","Nucleus","Endoplasmic reticulum",A,198,"COMP1,COMP2"
Science,Grade 11,"What is the SI unit for electric current?","Volt","Ampere","Ohm","Watt",B,245,"COMP2,COMP4"
Science,Grade 11,"Which of the following is a greenhouse gas?","Nitrogen","Oxygen","Carbon dioxide","Argon",C,267,"COMP1,COMP3"
Science,Grade 11,"What is the process by which plants make their own food called?","Respiration","Photosynthesis","Digestion","Excretion",B,189,"COMP1,COMP2"
Science,Grade 11,"Which of the following is a vector quantity?","Temperature","Mass","Force","Time",C,312,"COMP2,COMP4"
Science,Grade 11,"What is the chemical formula for water?","H2O","CO2","O2","N2",A,134,"COMP1,COMP2"
Science,Grade 11,"Which of the following is a renewable energy source?","Coal","Natural gas","Solar power","Nuclear power",C,276,"COMP2,COMP4"
Science,Grade 11,"What is the function of the nervous system?","Transport nutrients","Control body functions","Produce hormones","Filter blood",B,223,"COMP1,COMP2"
Science,Grade 11,"Which of the following is a physical change?","Burning wood","Melting ice","Rusting iron","Cooking food",B,178,"COMP1,COMP3"
Science,Grade 11,"What is the atomic mass unit of hydrogen?","1","2","3","4",A,145,"COMP1,COMP2"
Science,Grade 11,"Which of the following is responsible for carrying oxygen in the blood?","White blood cells","Red blood cells","Platelets","Plasma",B,201,"COMP1,COMP2"
Science,Grade 11,"What is the unit of measurement for frequency?","Meter","Second","Hertz","Newton",C,298,"COMP2,COMP4"
