subject,grade,questionText,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,competencyCodes
Maths,Grade 6,What is the value of 3² × 4 + 7?,43,55,67,79,A,282,"COMP1,COMP2"
Maths,Grade 6,"If a rectangle has length 8 cm and width 6 cm, what is its area?",14 cm²,48 cm²,28 cm²,56 cm²,B,211,"COMP2,COMP3"
Maths,Grade 6,What is 25% of 80?,15,20,25,30,B,271,"COMP1,COMP4"
Maths,Grade 6,Solve for x: 3x + 7 = 22,3,5,7,9,B,172,"COMP1,COMP2"
Maths,Grade 6,What is the greatest common factor of 24 and 36?,6,8,12,18,C,196,"COMP1,COMP3"
Maths,Grade 6,"If a triangle has angles measuring 45°, 45°, and 90°, what type of triangle is it?",Equilateral,Isosceles,Right,Acute,C,163,"COMP2,COMP3"
Maths,Grade 6,What is the decimal equivalent of 3/8?,0.25,0.375,0.5,0.625,B,220,"COMP1,COMP4"
Maths,Grade 6,"If a car travels 120 km in 2 hours, what is its speed in km/h?",40,50,60,70,C,140,"COMP2,COMP4"
Maths,Grade 6,What is the perimeter of a square with side length 9 cm?,18 cm,27 cm,36 cm,81 cm,C,304,"COMP2,COMP3"
Maths,Grade 6,Simplify: 2(3x + 4) - 5,6x + 3,6x + 8,6x - 1,6x + 1,A,203,"COMP1,COMP2"
Maths,Grade 6,What is the least common multiple of 6 and 8?,12,18,24,48,C,114,"COMP1,COMP3"
Maths,Grade 6,"If a circle has radius 5 cm, what is its circumference? (Use π = 3.14)",15.7 cm,31.4 cm,47.1 cm,78.5 cm,B,268,"COMP2,COMP3"
Maths,Grade 6,What is 0.6 as a fraction in simplest form?,5-Mar,10-Jun,3-Feb,2-Jan,A,117,"COMP1,COMP4"
Maths,Grade 6,"If 4 notebooks cost $12, how much do 7 notebooks cost?",$18 ,$21 ,$24 ,$28 ,B,212,"COMP2,COMP4"
Maths,Grade 6,What is the value of 2³ × 3²?,18,36,72,108,C,250,"COMP1,COMP2"
Maths,Grade 6,"If a number is increased by 20% and becomes 60, what was the original number?",45,48,50,52,C,340,"COMP1,COMP4"
